age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
58;1;married;1;no;2143;yes;no;unknown;5;may;261;1;-1;0;unknown;no
44;2;single;2;no;29;yes;no;unknown;5;may;151;1;-1;0;unknown;no
33;3;married;2;no;2;yes;yes;unknown;5;may;76;1;-1;0;unknown;no
47;4;married;3;no;1506;yes;no;unknown;5;may;92;1;-1;0;unknown;no
33;5;single;3;no;1;no;no;unknown;5;may;198;1;-1;0;unknown;no
35;1;married;1;no;231;yes;no;unknown;5;may;139;1;-1;0;unknown;no
28;1;single;1;no;447;yes;yes;unknown;5;may;217;1;-1;0;unknown;no
42;3;divorced;1;yes;2;yes;no;unknown;5;may;380;1;-1;0;unknown;no
58;6;married;4;no;121;yes;no;unknown;5;may;50;1;-1;0;unknown;no
43;2;single;2;no;593;yes;no;unknown;5;may;55;1;-1;0;unknown;no
41;7;divorced;2;no;270;yes;no;unknown;5;may;222;1;-1;0;unknown;no
29;7;single;2;no;390;yes;no;unknown;5;may;137;1;-1;0;unknown;no
53;2;married;2;no;6;yes;no;unknown;5;may;517;1;-1;0;unknown;no
58;2;married;3;no;71;yes;no;unknown;5;may;71;1;-1;0;unknown;no
57;8;married;2;no;162;yes;no;unknown;5;may;174;1;-1;0;unknown;no
51;6;married;4;no;229;yes;no;unknown;5;may;353;1;-1;0;unknown;no
45;7;single;3;no;13;yes;no;unknown;5;may;98;1;-1;0;unknown;no
57;4;married;4;no;52;yes;no;unknown;5;may;38;1;-1;0;unknown;no
60;6;married;4;no;60;yes;no;unknown;5;may;219;1;-1;0;unknown;no
33;8;married;2;no;0;yes;no;unknown;5;may;54;1;-1;0;unknown;no
28;4;married;2;no;723;yes;yes;unknown;5;may;262;1;-1;0;unknown;no
56;1;married;1;no;779;yes;no;unknown;5;may;164;1;-1;0;unknown;no
32;4;single;4;no;23;yes;yes;unknown;5;may;160;1;-1;0;unknown;no
25;8;married;2;no;50;yes;no;unknown;5;may;342;1;-1;0;unknown;no
40;6;married;4;no;0;yes;yes;unknown;5;may;181;1;-1;0;unknown;no
44;7;married;2;no;-372;yes;no;unknown;5;may;172;1;-1;0;unknown;no
39;1;single;1;no;255;yes;no;unknown;5;may;296;1;-1;0;unknown;no
52;3;married;2;no;113;yes;yes;unknown;5;may;127;1;-1;0;unknown;no
46;1;single;2;no;-246;yes;no;unknown;5;may;255;2;-1;0;unknown;no
