id,age,marital,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,job,education
152,26,single,no,0,yes,no,cellular,5,may,610,2,-1,0,unknown,no,student,secondary
204,35,single,no,298,yes,no,cellular,5,may,611,2,-1,0,unknown,no,student,secondary
266,30,single,no,25,yes,no,cellular,5,may,89,2,-1,0,unknown,no,student,tertiary
293,24,single,no,423,yes,no,cellular,5,may,226,3,-1,0,unknown,no,student,secondary
298,24,single,no,82,yes,no,cellular,5,may,204,2,-1,0,unknown,no,student,secondary
370,23,single,no,157,yes,no,cellular,6,may,54,1,-1,0,unknown,no,student,secondary
553,30,single,no,34,yes,no,cellular,6,may,289,1,-1,0,unknown,no,student,tertiary
648,31,single,no,252,yes,no,cellular,6,may,175,3,-1,0,unknown,no,student,secondary
651,29,single,no,209,yes,no,cellular,6,may,311,2,-1,0,unknown,no,student,secondary
691,29,single,no,948,yes,no,cellular,6,may,75,2,-1,0,unknown,no,student,secondary
769,29,single,no,110,yes,no,cellular,7,may,169,3,-1,0,unknown,no,student,secondary
789,29,single,no,185,yes,no,cellular,7,may,141,3,-1,0,unknown,no,student,tertiary
891,29,single,no,872,yes,no,cellular,7,may,230,1,-1,0,unknown,no,student,secondary
1053,27,single,no,671,yes,no,cellular,7,may,332,2,-1,0,unknown,no,student,secondary
1226,27,single,no,81,yes,no,cellular,8,may,238,1,-1,0,unknown,no,student,secondary
1289,26,single,no,85,yes,no,cellular,8,may,278,2,-1,0,unknown,no,student,secondary
1339,27,single,no,217,yes,no,cellular,8,may,319,1,-1,0,unknown,no,student,secondary
1375,26,single,no,37,yes,no,cellular,8,may,108,1,-1,0,unknown,no,student,tertiary
1402,26,single,no,-41,yes,no,cellular,8,may,229,2,-1,0,unknown,no,student,secondary
1512,27,single,no,0,no,no,cellular,8,may,93,2,-1,0,unknown,no,student,secondary
1719,22,single,no,2412,yes,no,cellular,9,may,238,2,-1,0,unknown,no,student,secondary
1758,23,single,no,318,yes,no,cellular,9,may,545,2,-1,0,unknown,no,student,secondary
1813,27,married,no,659,yes,no,cellular,9,may,111,2,-1,0,unknown,no,student,tertiary
1825,23,single,no,151,yes,no,cellular,9,may,97,1,-1,0,unknown,no,student,secondary
1837,21,single,no,6,no,no,cellular,9,may,622,1,-1,0,unknown,no,student,secondary
1934,24,single,no,304,no,no,cellular,9,may,180,3,-1,0,unknown,no,student,secondary
1943,29,single,no,510,yes,no,cellular,9,may,25,6,-1,0,unknown,no,student,secondary
2061,25,married,no,333,yes,no,cellular,12,may,399,3,-1,0,unknown,no,student,tertiary
2119,25,single,no,641,yes,no,cellular,12,may,53,1,-1,0,unknown,no,student,tertiary
2228,23,single,no,250,yes,no,cellular,12,may,166,2,-1,0,unknown,no,student,tertiary
2236,24,single,no,1535,yes,no,cellular,12,may,126,2,-1,0,unknown,no,student,tertiary
2260,21,single,no,137,yes,no,cellular,12,may,198,3,-1,0,unknown,no,student,secondary
2364,21,single,no,99,yes,no,cellular,13,may,49,1,-1,0,unknown,no,student,secondary
2798,26,single,no,91,yes,no,cellular,14,may,174,2,-1,0,unknown,no,student,secondary
3027,26,single,no,3096,yes,no,cellular,14,may,107,1,-1,0,unknown,no,student,secondary
3083,28,single,no,246,yes,no,cellular,14,may,162,4,-1,0,unknown,no,student,secondary
3161,20,single,no,79,yes,no,cellular,14,may,168,3,-1,0,unknown,no,student,tertiary
3369,28,single,no,0,yes,no,cellular,15,may,133,3,-1,0,unknown,no,student,secondary
3451,22,single,no,364,yes,no,cellular,15,may,282,1,-1,0,unknown,no,student,secondary
3465,25,single,no,1139,yes,no,cellular,15,may,22,3,-1,0,unknown,no,student,secondary
3688,27,single,no,66,yes,no,cellular,16,may,456,1,-1,0,unknown,no,student,tertiary
4134,28,single,no,80,yes,no,cellular,19,may,234,1,-1,0,unknown,no,student,tertiary
4153,28,single,no,836,yes,no,cellular,19,may,36,1,-1,0,unknown,no,student,tertiary
4204,20,single,no,67,yes,no,cellular,19,may,387,1,-1,0,unknown,no,student,secondary
4269,21,single,no,210,yes,no,cellular,19,may,53,1,-1,0,unknown,no,student,secondary
4299,23,single,no,405,yes,no,cellular,19,may,134,3,-1,0,unknown,no,student,secondary
4384,28,single,no,154,yes,no,cellular,20,may,21,9,-1,0,unknown,no,student,secondary
4430,31,single,no,368,yes,no,cellular,20,may,81,1,-1,0,unknown,no,student,secondary
4443,32,single,no,1583,yes,no,cellular,20,may,57,1,-1,0,unknown,no,student,secondary
4546,26,single,no,268,yes,no,cellular,20,may,77,2,-1,0,unknown,no,student,secondary
4624,31,single,no,410,yes,no,cellular,20,may,112,2,-1,0,unknown,no,student,tertiary
4737,23,single,no,-116,yes,no,cellular,20,may,109,6,-1,0,unknown,no,student,secondary
4817,36,single,no,687,yes,no,cellular,21,may,287,3,-1,0,unknown,no,student,tertiary
4996,21,single,no,232,yes,no,cellular,21,may,110,2,-1,0,unknown,no,student,secondary
5301,32,single,no,1883,yes,no,cellular,23,may,57,1,-1,0,unknown,no,student,secondary
5322,25,single,no,1765,yes,no,cellular,23,may,135,2,-1,0,unknown,no,student,secondary
5371,26,single,no,1570,yes,no,cellular,23,may,81,1,-1,0,unknown,no,student,tertiary
5562,30,single,no,-679,yes,no,cellular,23,may,372,3,-1,0,unknown,no,student,tertiary
5641,34,married,no,387,yes,no,cellular,26,may,52,3,-1,0,unknown,no,student,tertiary
5708,29,married,no,149,yes,no,cellular,26,may,367,4,-1,0,unknown,no,student,tertiary
5927,29,single,no,0,no,no,cellular,26,may,52,3,-1,0,unknown,no,student,tertiary
6056,28,single,no,4716,yes,no,cellular,26,may,329,2,-1,0,unknown,no,student,secondary
6204,27,single,no,910,yes,yes,cellular,27,may,77,1,-1,0,unknown,no,student,secondary
6242,28,single,no,4793,no,no,cellular,27,may,151,1,-1,0,unknown,no,student,secondary
6295,28,single,no,737,yes,no,cellular,27,may,125,1,-1,0,unknown,no,student,tertiary
6505,20,single,no,556,yes,no,cellular,27,may,15,10,-1,0,unknown,no,student,tertiary
6509,26,single,no,2784,yes,no,cellular,27,may,264,1,-1,0,unknown,no,student,secondary
6628,34,single,no,3004,no,no,cellular,28,may,49,3,-1,0,unknown,no,student,primary
6746,24,single,no,3298,yes,no,cellular,28,may,227,1,-1,0,unknown,no,student,secondary
6780,27,single,no,16173,yes,no,cellular,28,may,489,1,-1,0,unknown,no,student,secondary
6839,23,single,no,854,yes,no,cellular,28,may,664,2,-1,0,unknown,yes,student,secondary
6919,28,single,no,949,yes,no,cellular,28,may,1730,1,-1,0,unknown,yes,student,secondary
6938,30,single,no,2030,yes,no,cellular,28,may,27,2,-1,0,unknown,no,student,tertiary
6939,26,single,no,0,yes,no,cellular,28,may,124,1,-1,0,unknown,no,student,tertiary
7037,22,single,no,489,no,no,cellular,28,may,223,5,-1,0,unknown,no,student,secondary
7095,24,single,no,1919,yes,no,cellular,29,may,127,4,-1,0,unknown,no,student,secondary
7148,36,single,no,36,yes,no,cellular,29,may,705,1,-1,0,unknown,no,student,secondary
7342,33,single,no,254,yes,no,cellular,29,may,558,13,-1,0,unknown,no,student,tertiary
7367,24,single,no,2530,yes,no,cellular,29,may,399,5,-1,0,unknown,no,student,secondary
7387,29,single,no,1093,yes,no,cellular,29,may,368,2,-1,0,unknown,no,student,secondary
7426,31,single,no,479,yes,no,cellular,29,may,72,12,-1,0,unknown,no,student,tertiary
7516,20,single,no,2764,yes,no,cellular,29,may,139,2,-1,0,unknown,no,student,tertiary
7525,24,single,no,7,yes,no,cellular,30,may,86,3,-1,0,unknown,no,student,secondary
7553,25,single,no,1790,no,no,cellular,30,may,242,3,-1,0,unknown,no,student,secondary
7777,35,single,no,2960,yes,no,cellular,30,may,123,2,-1,0,unknown,no,student,secondary
8146,30,single,no,809,no,no,cellular,2,jun,91,2,-1,0,unknown,no,student,secondary
8327,33,single,no,3404,yes,no,cellular,2,jun,312,3,-1,0,unknown,no,student,tertiary
8693,27,single,no,298,yes,no,cellular,3,jun,52,1,-1,0,unknown,no,student,secondary
8754,23,single,no,4409,yes,no,cellular,4,jun,299,1,-1,0,unknown,no,student,secondary
8789,22,single,no,111,yes,no,cellular,4,jun,89,1,-1,0,unknown,no,student,secondary
8811,24,single,no,2726,yes,no,cellular,4,jun,283,1,-1,0,unknown,no,student,secondary
8871,26,single,no,-147,no,no,cellular,4,jun,95,2,-1,0,unknown,no,student,secondary
8927,29,single,no,200,yes,no,cellular,4,jun,87,2,-1,0,unknown,no,student,secondary
9283,38,single,no,1523,yes,no,cellular,5,jun,17,16,-1,0,unknown,no,student,tertiary
9295,24,single,no,0,no,no,cellular,5,jun,25,26,-1,0,unknown,no,student,primary
9552,30,single,no,1232,yes,no,cellular,6,jun,52,4,-1,0,unknown,no,student,secondary
9581,40,single,no,5349,no,no,cellular,6,jun,471,1,-1,0,unknown,no,student,secondary
9711,36,married,no,3503,no,no,cellular,6,jun,31,1,-1,0,unknown,no,student,primary
10014,32,single,no,2313,yes,no,cellular,9,jun,99,26,-1,0,unknown,no,student,secondary
10176,23,single,no,1284,yes,no,cellular,11,jun,327,10,-1,0,unknown,no,student,secondary
10350,36,single,no,409,yes,no,cellular,12,jun,72,1,-1,0,unknown,no,student,secondary
10396,36,single,no,172,no,no,cellular,12,jun,81,1,-1,0,unknown,no,student,secondary
10960,38,single,no,3316,no,no,cellular,17,jun,1345,3,-1,0,unknown,yes,student,tertiary
10969,42,married,no,2374,no,no,cellular,17,jun,158,2,-1,0,unknown,no,student,secondary
11175,37,married,no,0,no,no,cellular,18,jun,115,1,-1,0,unknown,no,student,secondary
11206,38,single,no,722,no,no,cellular,18,jun,65,1,-1,0,unknown,no,student,secondary
11273,36,single,no,386,no,no,cellular,18,jun,359,2,-1,0,unknown,no,student,secondary
11583,25,single,no,722,yes,no,cellular,19,jun,172,1,-1,0,unknown,no,student,secondary
11653,36,married,no,408,no,no,cellular,20,jun,112,3,-1,0,unknown,no,student,tertiary
11833,20,single,no,-322,yes,no,cellular,20,jun,73,4,-1,0,unknown,no,student,secondary
11871,38,single,no,9669,no,no,cellular,20,jun,15,3,-1,0,unknown,no,student,secondary
12082,44,single,no,5078,no,no,cellular,20,jun,17,5,-1,0,unknown,no,student,secondary
12101,26,single,no,715,yes,no,cellular,20,jun,31,10,-1,0,unknown,no,student,secondary
12182,40,married,no,260,no,no,cellular,20,jun,197,6,-1,0,unknown,no,student,secondary
12189,41,married,no,1309,no,no,cellular,20,jun,28,4,-1,0,unknown,no,student,secondary
12209,36,single,no,904,no,no,cellular,20,jun,10,8,-1,0,unknown,no,student,secondary
12498,22,single,no,280,yes,no,cellular,2,jul,63,4,-1,0,unknown,no,student,secondary
13012,28,single,no,305,no,no,cellular,7,jul,625,1,-1,0,unknown,no,student,secondary
13135,30,single,no,-145,no,yes,cellular,8,jul,154,1,-1,0,unknown,no,student,secondary
