id,Newspaper,Sales
1,69.2,22.1
2,45.1,10.4
3,69.3,9.3
4,58.5,18.5
5,58.4,12.9
6,75,7.2
7,23.5,11.8
8,11.6,13.2
9,1,4.8
10,21.2,10.6
11,24.2,8.6
12,4,17.4
13,65.9,9.2
14,7.2,9.7
15,46,19
16,52.9,22.4
17,114,12.5
18,55.8,24.4
19,18.3,11.3
20,19.1,14.6
21,53.4,18
22,23.5,12.5
23,49.6,5.6
24,26.2,15.5
25,18.3,9.7
26,19.5,12
27,12.6,15
28,22.9,15.9
29,22.9,18.9
30,40.8,10.5
31,43.2,21.4
32,38.6,11.9
33,30,9.6
34,0.3,17.4
35,7.4,9.5
36,8.5,12.8
37,5,25.4
38,45.7,14.7
39,35.1,10.1
40,32,21.5
41,31.6,16.6
42,38.7,17.1
43,1.8,20.7
44,26.4,12.9
45,43.3,8.5
46,31.5,14.9
47,35.7,10.6
48,18.5,23.2
49,49.9,14.8
50,36.8,9.7
51,34.6,11.4
52,3.6,10.7
53,39.6,22.6
54,58.7,21.2
55,15.9,20.2
56,60,23.7
57,41.4,5.5
58,16.6,13.2
59,37.7,23.8
60,9.3,18.4
61,21.4,8.1
62,54.7,24.2
63,27.3,15.7
64,8.4,14
65,28.9,18
66,0.9,9.3
67,2.2,9.5
68,10.2,13.4
69,11,18.9
70,27.2,22.3
71,38.7,18.3
72,31.7,12.4
73,19.3,8.8
74,31.3,11
75,13.1,17
76,89.4,8.7
77,20.7,6.9
78,14.2,14.2
79,9.4,5.3
80,23.1,11
81,22.3,11.8
82,36.9,12.3
83,32.5,11.3
84,35.6,13.6
85,33.8,21.7
86,65.7,15.2
87,16,12
88,63.2,16
89,73.4,12.9
90,51.4,16.7
91,9.3,11.2
92,33,7.3
93,59,19.4
94,72.3,22.2
95,10.9,11.5
96,52.9,16.9
97,5.9,11.7
98,22,15.5
99,51.2,25.4
100,45.9,17.2
101,49.8,11.7
102,100.9,23.8
103,21.4,14.8
104,17.9,14.7
105,5.3,20.7
106,59,19.2
107,29.7,7.2
108,23.2,8.7
109,25.6,5.3
110,5.5,19.8
111,56.5,13.4
112,23.2,21.8
113,2.4,14.1
114,10.7,15.9
115,34.5,14.6
116,52.7,12.6
117,25.6,12.2
118,14.8,9.4
119,79.2,15.9
120,22.3,6.6
121,46.2,15.5
122,50.4,7
123,15.6,11.6
124,12.4,15.2
125,74.2,19.7
126,25.9,10.6
127,50.6,6.6
128,9.2,8.8
129,3.2,24.7
130,43.1,9.7
131,8.7,1.6
132,43,12.7
133,2.1,5.7
134,45.1,19.6
135,65.6,10.8
136,8.5,11.6
137,9.3,9.5
138,59.7,20.8
139,20.5,9.6
140,1.7,20.7
141,12.9,10.9
142,75.6,19.2
143,37.9,20.1
144,34.4,10.4
145,38.9,11.4
146,9,10.3
147,8.7,13.2
148,44.3,25.4
149,11.9,10.9
150,20.6,10.1
151,37,16.1
152,48.7,11.6
153,14.2,16.6
154,37.7,19
155,9.5,15.6
156,5.7,3.2
157,50.5,15.3
158,24.3,10.1
159,45.2,7.3
160,34.6,12.9
161,30.7,14.4
162,49.3,13.3
163,25.6,14.9
164,7.4,18
165,5.4,11.9
166,84.8,11.9
167,21.6,8
168,19.4,12.2
169,57.6,17.1
170,6.4,15
171,18.4,8.4
172,47.4,14.5
173,17,7.6
174,12.8,11.7
175,13.1,11.5
176,41.8,27
177,20.3,20.2
178,35.2,11.7
179,23.7,11.8
180,17.6,12.6
181,8.3,10.5
182,27.4,12.2
183,29.7,8.7
184,71.8,26.2
185,30,17.6
186,19.6,22.6
187,26.6,10.3
188,18.2,17.3
189,3.7,15.9
190,23.4,6.7
191,5.8,10.8
192,6,9.9
193,31.6,5.9
194,3.6,19.6
195,6,17.3
196,13.8,7.6
197,8.1,9.7
198,6.4,12.8
199,66.2,25.5
200,8.7,13.4
